,f_sandwich_intensity_z,f_mev_vol_share_z,f_attack_eff_z,roc_6,roc_12,roc_48,madev_6,madev_12,madev_48,cci_6,cci_12,cci_48,dist_h_6,dist_h_12,dist_h_48,dist_l_6,dist_l_12,dist_l_48,cmf_6,cmf_12,cmf_48,volsu_6,volsu_12,volsu_48,mfi_6,mfi_12,mfi_48,avr_6,avr_12,avr_48,atr_6,atr_12,atr_48,gkvol_6,gkvol_12,gkvol_48,rvol_6,rvol_12,rvol_48,skew_6,skew_12,skew_48,kurt_6,kurt_12,kurt_48,drp_6,drp_12,drp_48,pvcorr_6,pvcorr_12,pvcorr_48,rank_6,rank_12,rank_48,corr_6,corr_12,corr_48,delta_6,delta_12,delta_48
cci_12,0.09017105312842201,0.07775857616749102,0.08816540383062413,0.4479944151774319,0.3940363764083217,0.25866595259847314,0.43998465873050996,0.49564471309139274,0.3403615891087497,0.5103729050222638,1.0,0.41143364116135206,0.3233126705561306,0.36165244073534336,0.30092519135758566,0.30743603452698465,0.35044795915410887,0.290926794925296,0.28298490977803803,0.2438233457365148,0.16055951807931854,0.187337515935268,0.1973964407380449,0.20037189215127613,0.41378086298020034,0.32524763213072083,0.2147454847670151,0.35433485789178565,0.2959805669488746,0.20106053663824414,0.11729074201412765,0.09422430800312867,0.08217582410915522,0.133824527446308,0.09592503896301365,0.08090252326247627,0.1489900213136989,0.10762497296334465,0.08054425873795913,0.13880961894843485,0.14351808898208113,0.12769433129667346,0.14338620576660907,0.14132349140133324,0.11686371236466696,0.38316041079157304,0.514738528114199,0.3633162151711443,0.23320520232190972,0.19581922375618652,0.15143736248009876,0.14787040079372749,0.16003016882941073,0.14974106764811257,0.25502934343230865,0.22518085513558994,0.14626383368126056,0.18441801416544168,0.17698383081113295,0.16288164826801985
cci_48,0.09685666000921801,0.08295246873614615,0.09160198173014526,0.4217687254237467,0.47945653998992555,0.4286072000542534,0.3977991055725843,0.4864591670217963,0.5913667433176515,0.3044748176717677,0.41143364116135206,1.0,0.3061480109376378,0.3445507760945288,0.44139631043257,0.29386188988902523,0.32745022262380385,0.4193019639557004,0.2413737464345001,0.2605990931646094,0.21931988520871976,0.2080711905372249,0.22607134370131757,0.24447783547791868,0.3373182916816042,0.3975996822498607,0.3361143302668113,0.3046181394534085,0.3449912364265342,0.29406661003696516,0.16795882646650534,0.12642570543496606,0.09216615914376389,0.18789208183327225,0.14090081554296544,0.08359381047585236,0.19792399577308417,0.15291837949314177,0.08533120322518388,0.1658929476391407,0.1803380293835491,0.16900282994324184,0.1644071895754876,0.1771181742463853,0.14206887347873176,0.2631559085472765,0.33088320943332544,0.566838587526081,0.2299558044945352,0.25937106918238995,0.2156369200151934,0.15803684662693812,0.17012740698634105,0.1784813101106119,0.2537506877442556,0.31285516684917297,0.23155744698725908,0.21673433713207968,0.2168296902964171,0.20481323965457254
dist_h_6,0.09338541186640521,0.08244211056575385,0.08794859790452512,0.426294032338949,0.3316653110758227,0.276658271363262,0.4575189694155891,0.44429060023352174,0.34987404735453725,0.3247840465659762,0.3233126705561306,0.3061480109376378,1.0,0.5568656734764117,0.37082072363324625,0.23087413064230192,0.23555601816312988,0.2412001606054338,0.27084516093706323,0.21562822834164602,0.18498867731121443,0.2038215764939821,0.2189747243626,0.23641811450297884,0.27042009968467096,0.23149637594562442,0.21604595742150923,0.27904408157544325,0.23282137266233113,0.21518603760070723,0.22052636091884012,0.18002148860073885,0.13662655188487985,0.22943669458531468,0.17738201769184503,0.12461584245677691,0.231780069117897,0.18233836093239109,0.1324711871556399,0.15140795518825623,0.15811771372836425,0.1663296576151766,0.16013511485581292,0.1666836499372513,0.1568044723250789,0.36785016571578527,0.3386487958218856,0.3003334880257293,0.1746590089309182,0.1659984824446437,0.16258360103217653,0.15131726143863966,0.157657758125582,0.1617701451600972,0.179471252552626,0.18333368977095318,0.16899185075085849,0.2171156972610708,0.2126584783540832,0.2049641657962993
dist_h_12,0.09502096003957357,0.08344952915909466,0.08791583443493475,0.4101081391773937,0.4351799162250764,0.2972313708598214,0.4091965084933435,0.4913351252095697,0.3988153624702482,0.3093704474029008,0.36165244073534336,0.3445507760945288,0.5568656734764117,1.0,0.4406928328938606,0.23279387084255354,0.24770106056516303,0.2551816905418806,0.2604535972002143,0.24785831632682065,0.1874702774453497,0.193982495070252,0.2047350331630929,0.21406895203655288,0.29225500451373465,0.2795729442306569,0.2301628363263725,0.28538359974155125,0.27458044305213697,0.2240443207720912,0.21960874405782246,0.18470054173798028,0.1308145578692812,0.21742953751191393,0.1884819536042605,0.11862079530657346,0.211305002319103,0.1922581937159669,0.1283477083225736,0.14611519557508795,0.1530618867842887,0.1554527175993057,0.1551883853842195,0.15832364449116323,0.1468881996125467,0.3238251834161194,0.40975761887590517,0.3453390833238212,0.19713464281047052,0.180939061050391,0.16164870132766,0.15219204874877584,0.15247249706709165,0.14815271591823234,0.19681853822925877,0.18315388305527425,0.16271769741457315,0.20570746479807245,0.19765041633762834,0.191546691530888
dist_h_48,0.09369247796776695,0.08150805252877658,0.09096627400937803,0.3538482680094624,0.3850049128984054,0.4490725894048641,0.35265881950173433,0.41166428831856827,0.5403219354128954,0.25916721568496637,0.30092519135758566,0.44139631043257,0.37082072363324625,0.4406928328938606,1.0,0.23415109635104786,0.24490882536617892,0.2857832181430152,0.22759758542836542,0.22236470280924225,0.2257179070273592,0.19883384954863645,0.20798155439744825,0.20980139522466368,0.26389217686441513,0.28575640072240516,0.31935364373762537,0.26112505660357604,0.26034081150849403,0.2924891883890004,0.1807059508032453,0.171846530558403,0.13799317640450606,0.1806902011025094,0.16326224705321252,0.13541960546018794,0.17916143738954485,0.15864512226734642,0.13503829224993136,0.14906530900334225,0.1558464876955199,0.1587247987352361,0.1640603814516858,0.1629149372355359,0.1384585529933051,0.2576655580773466,0.2979148903624935,0.4927067308682211,0.194219637688927,0.19667587068795164,0.1967229076187914,0.1579424103737605,0.15628262774335377,0.14126497704943905,0.20542268811987496,0.22063447369656014,0.1718479739016837,0.20758233180261465,0.19647113339591032,0.18239032715798248
dist_l_6,0.09442187483820641,0.08035952495980041,0.08822135552879805,0.38725642764247525,0.29625582789219923,0.24289112865723222,0.42333863397721916,0.39920383254189873,0.30786439671017213,0.31108077315942484,0.30743603452698465,0.29386188988902523,0.23087413064230192,0.23279387084255354,0.23415109635104786,1.0,0.514691757193685,0.32078902042267,0.26789427426097023,0.2142561543736846,0.17382934070716027,0.1858373170820713,0.19785810587367403,0.21495755966794394,0.25131596866543904,0.2163130960164123,0.20107543305985817,0.27267310354641044,0.2291643901008207,0.20000785576809774,0.17710605556758935,0.14134008125589503,0.10852501201739716,0.20092676906855814,0.14924076359594993,0.10362574016232318,0.22169672862765302,0.16702562497482126,0.1095361569023221,0.14832597822889085,0.1542993496684556,0.1526186720701843,0.1531420662176484,0.15795043779756332,0.15302927665097427,0.37095425897598655,0.32124235901009895,0.2739934309451207,0.16750660018471608,0.1616238134247066,0.15770484203824145,0.14796534962207455,0.1487613575509407,0.15757044123851527,0.17029139435136095,0.1807486266467457,0.16446725848110608,0.20067578790017854,0.2058587608688677,0.19394657651089273
dist_l_12,0.09441859328583546,0.08111216591207829,0.08732786181397544,0.381548213021446,0.401344119405399,0.26354813732688176,0.3834001796353887,0.4468821254266702,0.3522649068030513,0.2961836897312973,0.35044795915410887,0.32745022262380385,0.23555601816312988,0.24770106056516303,0.24490882536617892,0.514691757193685,1.0,0.3954297054595611,0.25062689477613076,0.24994781882696723,0.17566830788060864,0.17470533276772493,0.18194394915412845,0.19590881623101944,0.27650851763071893,0.2729608526532409,0.2141834207632114,0.27596376027596375,0.2708811801037388,0.20980766211962784,0.1629526420025007,0.13857112553300724,0.10123845889649878,0.17312915530048062,0.150065292980927,0.09781433507875602,0.1850168231749493,0.16715528758756848,0.10277063330068739,0.14246721827210237,0.14619415862465648,0.1469110223000523,0.1499226436918917,0.15301195891332353,0.1407406776097863,0.324426771083767,0.4111483463461707,0.31987591260083564,0.18357724219435947,0.17237553861749114,0.1542907534515879,0.1469423497053991,0.1455118776091138,0.14415674873565307,0.1863796402944074,0.175548437335098,0.16176506713030567,0.18290574506514956,0.1896508174535438,0.176727008197868
dist_l_48,0.10043794883445029,0.0864170814398038,0.09081360639775249,0.3255350013607548,0.36667069302354893,0.42214700703297164,0.3303852492239436,0.3784753122035655,0.4984933275936289,0.25052520704442993,0.290926794925296,0.4193019639557004,0.2412001606054338,0.2551816905418806,0.2857832181430152,0.32078902042267,0.3954297054595611,1.0,0.21641817521853873,0.22417275343072157,0.22364510956707642,0.18582345601996256,0.19169191955118628,0.18966976735338317,0.24936823377687584,0.28112012255315383,0.2987212410251035,0.24628340474999663,0.26184966332279785,0.2720244044914649,0.13681103702150715,0.12267872020637904,0.10302986998208383,0.14615826857810502,0.12255110673663373,0.10306173387320428,0.1603572116793331,0.13351990360535945,0.11263817171578348,0.14743948795197104,0.15038582084958207,0.14685962388734666,0.1543490810476996,0.15288350634371395,0.13241054970353913,0.24998243292304448,0.2943796350550732,0.4789567891667502,0.1875576552148268,0.19425835715902706,0.18211775800457214,0.15833690336436015,0.16038384915711787,0.13928453221535747,0.19556183831269391,0.2164111738891638,0.16056909033679573,0.18829971611054622,0.18457664679622945,0.1679392638068249
cmf_6,0.08911743173569682,0.07877568817151225,0.08674055174613299,0.3399264189593041,0.236936719683434,0.20805598356445815,0.274739164101104,0.3023936569276006,0.2409944597619278,0.24505248430271834,0.28298490977803803,0.2413737464345001,0.27084516093706323,0.2604535972002143,0.22759758542836542,0.26789427426097023,0.25062689477613076,0.21641817521853873,1.0,0.34512808873806206,0.2158705339691971,0.1721929787622296,0.18115681402040282,0.183625464546268,0.280651251844859,0.19632804794780365,0.17805869648075212,0.33334353981036363,0.21874863295774824,0.18748994833798413,0.12764972782643028,0.11384917863490876,0.11034473949751568,0.13663110633082368,0.11312744884272566,0.10596291684894169,0.15487026346304908,0.12266411592207431,0.11147035972736309,0.1456730488303695,0.1356346807706838,0.13202417106830386,0.14630032021957914,0.14855113997230235,0.1298348143505033,0.3128927990959888,0.29802673546131536,0.23613952097758228,0.20853518504677976,0.15924859232412142,0.1545231091343755,0.1377071520059226,0.14248362182367574,0.13898583453089713,0.19988026985333057,0.16916077907788923,0.14570107696041593,0.17646180063739378,0.16782055770772863,0.16215712671586893
cmf_12,0.09098909946247169,0.07763068115628484,0.08998130447802265,0.2420625247157352,0.3206942180910476,0.20759599030145115,0.23491321138633392,0.277579941671562,0.24841001547011976,0.18917266496136637,0.2438233457365148,0.2605990931646094,0.21562822834164602,0.24785831632682065,0.22236470280924225,0.2142561543736846,0.24994781882696723,0.22417275343072157,0.34512808873806206,1.0,0.2586746669365343,0.17020819857811473,0.1795815192955136,0.1848912119643307,0.2033022760632233,0.2728740721448105,0.18195779709432688,0.22011301208601475,0.3077539456067511,0.193047259098012,0.1310053111146788,0.11214151755621259,0.10995256998504924,0.14431316499920596,0.11541084214115241,0.09923388213675272,0.16079488703172215,0.1354606045857668,0.10497055006148888,0.13938461839237012,0.1496682650406347,0.1365774303087736,0.1408622356360527,0.15611982935454236,0.13440217628127316,0.2125632608398304,0.2766057147253316,0.24045721539299805,0.19196694259589894,0.21099349450939323,0.15653774183072236,0.13828171781901433,0.1435455962946637,0.1431006082321011,0.18932326276037212,0.2121521605636534,0.15601385203079815,0.16733883236795954,0.1809655370889992,0.16232845157848794
