,f_sandwich_intensity_z,f_mev_vol_share_z,f_attack_eff_z,roc_6,roc_12,roc_48,madev_6,madev_12,madev_48,cci_6,cci_12,cci_48,dist_h_6,dist_h_12,dist_h_48,dist_l_6,dist_l_12,dist_l_48,cmf_6,cmf_12,cmf_48,volsu_6,volsu_12,volsu_48,mfi_6,mfi_12,mfi_48,avr_6,avr_12,avr_48,atr_6,atr_12,atr_48,gkvol_6,gkvol_12,gkvol_48,rvol_6,rvol_12,rvol_48,skew_6,skew_12,skew_48,kurt_6,kurt_12,kurt_48,drp_6,drp_12,drp_48,pvcorr_6,pvcorr_12,pvcorr_48,rank_6,rank_12,rank_48,corr_6,corr_12,corr_48,delta_6,delta_12,delta_48
cci_12,0.2611658926822926,0.15954269630889945,0.13706635377373624,0.6898953090099933,0.6326231527581385,0.45715145868701246,0.6676638760374622,0.723986163305368,0.5546529752863585,0.6606664058888375,1.0,0.5830668567979083,0.46587103290627824,0.48051660317202993,0.4919091579206009,0.40029426084731484,0.4176055313357019,0.46706134766910173,0.45559256263784786,0.46162958322792563,0.41654863270544695,0.3930249809728417,0.44670564075931823,0.4929959738534162,0.6289295728187366,0.5704192747322787,0.4375931297074243,0.5608714427602884,0.5347394989005345,0.43710102331583,0.4937272688843416,0.46327066416315116,0.3392964002304447,0.48921023918901496,0.4645674243829276,0.35383475561612426,0.48661981481118965,0.4685519315675125,0.3497200329307432,0.2703556126731667,0.3446974125648246,0.3832306680222475,0.23200443891897304,0.33147338870720344,0.37481715512262526,0.5500644567638605,0.7128416786697264,0.5642397773545315,0.4447803148697832,0.4496451028916596,0.3881093300817929,0.3061381168416398,0.39692142733129954,0.4888437456704519,0.46415376199293046,0.4711390186915888,0.40428602721915236,0.40794751710480626,0.4397194978458584,0.4663812044980747
cci_48,0.2962577828418873,0.16885636065979723,0.14706249814082162,0.6079630211730676,0.6981634621688191,0.6349483671075047,0.554180720021351,0.6582577346736771,0.8255669351068102,0.45473029230723483,0.5830668567979083,1.0,0.5221737041977482,0.5347969927875108,0.6190534243359942,0.46606650416008977,0.46939518229391247,0.590579564292955,0.3976275060786512,0.4703474107518764,0.5102211781624743,0.39808696014529243,0.4721842025418872,0.5743791861111783,0.5284249195819002,0.6293071975128816,0.5813481459984216,0.4767630821151483,0.564686848389593,0.5559239470924052,0.6226059698875166,0.5844224339402619,0.3972160300149483,0.615881940226118,0.5886835068199573,0.42220056528031896,0.6027410961158126,0.5869901986580713,0.41096554985681405,0.28531423339975226,0.38542248994375056,0.4644031806349146,0.24898047070048207,0.372114631282167,0.44831940969714806,0.4050657859593993,0.5116313967124191,0.7590284254331998,0.4399015385534833,0.5236766679430035,0.49468834904490844,0.30094847938037256,0.40907148430674045,0.5709547007761389,0.4661972335225763,0.5720206845567568,0.5127289345704136,0.4355114106738783,0.4894914549362295,0.5461178825111961
dist_h_6,0.30828516008708523,0.180551049490963,0.1503920127025708,0.5121253803655355,0.5187764280343965,0.5000502619585125,0.4944574779541757,0.5388153655855812,0.531097551854185,0.3960062506404345,0.46587103290627824,0.5221737041977482,1.0,0.7603863311085322,0.5237276231743435,0.3759442288184541,0.36509389544278587,0.4388416215401345,0.3627257757797871,0.399679129044311,0.45426040591675265,0.3838926860382957,0.45530540045181367,0.5546725851499579,0.43354317975336054,0.4678371705246793,0.48634102862430517,0.4109837868138502,0.448857119341852,0.4758931940856148,0.6202037332500251,0.5924195549673257,0.4210011540890318,0.6196387809217038,0.5938162512254681,0.44318165689711453,0.6084592194920504,0.58549971987104,0.425492191270055,0.27054750512128567,0.35305567576549385,0.43623792170744224,0.25338658723365054,0.3726171519459508,0.4430841860651888,0.3659102900434413,0.431149435824979,0.49306840444057465,0.367546124184839,0.4173479476521055,0.4502713722897209,0.29028811436150614,0.39543827730693987,0.5519449580371706,0.3843494135365798,0.4374410222977449,0.4675827975542455,0.42111845131590225,0.4702579224700513,0.5379562323628491
dist_h_12,0.304533725367195,0.17923907237879935,0.1497260197116194,0.5122486558927035,0.5455347186669378,0.498155366897952,0.4882301718092876,0.5503341877178156,0.5453029986029466,0.40197522548362863,0.48051660317202993,0.5347969927875108,0.7603863311085322,1.0,0.5674353852233465,0.3717350481313106,0.35707825812921723,0.4352813757128332,0.3646153478742498,0.41077968050888575,0.4507970549028546,0.37222094203446654,0.432509338755328,0.5316262951272472,0.44068531145267537,0.48234831506243026,0.48240494986131854,0.4140427715004106,0.46226391601475647,0.47431318469140293,0.607026332058236,0.5803346782980803,0.4137057959634735,0.6019257669014995,0.5879459482579927,0.4368203961170572,0.5829626905316497,0.5761955231189251,0.4191248396843684,0.27013723462798883,0.3474821514262375,0.4295905955828794,0.24832671342040397,0.3643660678256392,0.4359523568063953,0.3720937586024745,0.45525624771133466,0.5099342331789373,0.3742270814447957,0.41833155733096294,0.44320098220105464,0.2826249012820418,0.3758981707125749,0.5327368599552645,0.3880741183150102,0.4329704043939381,0.46185177178661013,0.398268105812187,0.4511030492850353,0.5192770765087956
dist_h_48,0.30130136019202713,0.1744693452349476,0.149465812649437,0.5158681351781165,0.5639762643387923,0.5819267498364296,0.49076852460196746,0.5514753679095491,0.64825500607018,0.41168214003525194,0.4919091579206009,0.6190534243359942,0.5237276231743435,0.5674353852233465,1.0,0.4028787425933337,0.3881949689188404,0.467109508848298,0.3670729052501989,0.4188261542681367,0.47630011923681287,0.3561229947471141,0.4120195946620971,0.4978742923631156,0.44723683068164394,0.5115209143559593,0.5285950519714802,0.41969260665036184,0.4757130067783604,0.5093161930391679,0.5763065386628546,0.5618332648652946,0.4180528389365342,0.5662046565932545,0.5562778746143585,0.4481257628027723,0.5499612527151531,0.5436617275219994,0.4250633282003673,0.26355223418260665,0.34616367976201806,0.4360918733329651,0.2352803505918285,0.3408133282348615,0.429422029319279,0.3777285506396142,0.4631999472360152,0.6509622505409954,0.38518625124745065,0.44559933004283575,0.4579714563230696,0.27794475158864995,0.36335918958337365,0.5000072216881739,0.39971271773570033,0.4713553761657267,0.4545899709317469,0.3826329437985138,0.42439326665540006,0.48993761436404104
dist_l_6,0.2979168471985152,0.16850719671605524,0.14893711150927955,0.4524510829712292,0.4583851658382069,0.4456112855358103,0.4423896719141847,0.4729786133149362,0.47466814695668313,0.34737692618456745,0.40029426084731484,0.46606650416008977,0.3759442288184541,0.3717350481313106,0.4028787425933337,1.0,0.6942289324732323,0.4329684866555957,0.34670283536782276,0.3833043004297852,0.423667943237617,0.3703803689093594,0.43676309470671987,0.5226658790577897,0.381529263687854,0.4175525279112183,0.44574208065630905,0.3793107272986078,0.40865945700564943,0.4381652725754753,0.5580675709284307,0.5352196980907457,0.39280953236871274,0.555409171847528,0.5324655451565771,0.4197792565725173,0.5644784619788763,0.5374101061248315,0.41095800154364565,0.2614055884843353,0.34675079445493484,0.4192069292191095,0.24481874741444343,0.3665418251132674,0.42535631463944923,0.33515833086712044,0.3659141311977711,0.42473383113309465,0.3341241019529361,0.38298185652474276,0.42649741630295956,0.2852183648439307,0.3896563078898522,0.5239854057627588,0.3394558469352973,0.4013430281830794,0.44805364898779837,0.4130068941070277,0.4547720168311759,0.5065934759290807
dist_l_12,0.28422681660793125,0.16236539571917386,0.1436550598600792,0.46005293492330945,0.4776320197290112,0.4338030426850624,0.43881000799226627,0.4876023348090551,0.4794919499350718,0.35730765604284165,0.4176055313357019,0.46939518229391247,0.36509389544278587,0.35707825812921723,0.3881949689188404,0.6942289324732323,1.0,0.47061838535292666,0.35603620940187725,0.3992546076284341,0.4116002056621587,0.35042877764047986,0.4077285476300795,0.4890034654440752,0.39390642205608245,0.4260285890509325,0.43015181911361466,0.38421845459767273,0.4193626895144117,0.423870934720798,0.5271722512421965,0.5054429916491998,0.375484382227817,0.5220058123735137,0.5052370047597143,0.4012742868053663,0.5221165571804048,0.5153050511534056,0.3931106229172105,0.25572844963172064,0.3365659718351726,0.3988126673101087,0.23668749649547996,0.35037209754201887,0.40309375975010536,0.3459801353373419,0.39788554459718034,0.43008844621236153,0.33711497607637053,0.3776642040467137,0.40681776620806126,0.27581998201963553,0.3663596135914087,0.4915056072139556,0.3386618272123788,0.38740905077101595,0.42754639793525173,0.3827936112535717,0.4283308856360516,0.4754572819756287
dist_l_48,0.2929229767007938,0.16626789301379094,0.1440072207742912,0.49799710915482726,0.5428144476436928,0.5746279006135752,0.46712127707499257,0.5254926857183734,0.6304799660934761,0.39113445758271626,0.46706134766910173,0.590579564292955,0.4388416215401345,0.4352813757128332,0.467109508848298,0.4329684866555957,0.47061838535292666,1.0,0.3608465811883662,0.4174065012233485,0.476805428204658,0.34094802455895373,0.39909246345600097,0.4844575150485586,0.43958360064305285,0.4918847459886612,0.5180845542372727,0.408153816207472,0.46523129499884597,0.49972702854189566,0.548312354393683,0.5297107867039502,0.38743089795308533,0.5390501470055945,0.5257984049122013,0.4136097227452715,0.5274344449789419,0.5240771303469182,0.40713203418443505,0.26134994053652816,0.33703459920441864,0.4236124200727863,0.22948556938052458,0.33071047071416965,0.4114380281589018,0.3702203158510431,0.4438746177545263,0.6067798885681681,0.37696897860052175,0.43453155359513285,0.44497411977508616,0.2701180825154,0.35670687844389776,0.4844244246844939,0.39094432596707557,0.4559536221900674,0.4372544191363996,0.3758388544370434,0.4189966926039511,0.47687894646117596
cmf_6,0.23534254322552986,0.1483894730147963,0.13001587740260867,0.4806838411327781,0.4162283368805108,0.3503910169364522,0.45254321637595263,0.4611691343553977,0.3963745325328481,0.42763274280371,0.45559256263784786,0.3976275060786512,0.3627257757797871,0.3646153478742498,0.3670729052501989,0.34670283536782276,0.35603620940187725,0.3608465811883662,1.0,0.5284365938743254,0.36366436346096853,0.32467524451814395,0.3608650946245026,0.39089269843002855,0.435357900628718,0.3862666265209614,0.3441787894084714,0.46951623137990695,0.39891692332796214,0.3481858403778287,0.39185122026489183,0.3698165024342876,0.2881345722936561,0.38874678261259055,0.3692267799454306,0.2975482869292178,0.39427437879171195,0.3776222457634382,0.29175640260515323,0.23395643916058556,0.2835615089136216,0.32195559299829385,0.21515348762073996,0.2896656534954407,0.31817377114795486,0.4799291356019783,0.47612121704110094,0.396704528428563,0.3607660628787625,0.34289601324973384,0.3223607606761314,0.2661087714449471,0.33264702281353303,0.3891440065762827,0.35438840737560745,0.350318280625902,0.3288094376224023,0.3423487046113834,0.3561904036847414,0.373740393577546
cmf_12,0.2618454458044791,0.16013892039149405,0.1387694794409159,0.4628207454377035,0.5097691145685563,0.4082392007412829,0.44336774238328625,0.487617288206727,0.4671920742591931,0.39048852182184257,0.46162958322792563,0.4703474107518764,0.399679129044311,0.41077968050888575,0.4188261542681367,0.3833043004297852,0.3992546076284341,0.4174065012233485,0.5284365938743254,1.0,0.439233807510723,0.3429241340976747,0.38925139924084623,0.44069157603674247,0.42561417721518985,0.47760683084168554,0.40222491762916834,0.4260587605616238,0.49382065117042445,0.40878967497684454,0.4610071979115066,0.43574583724163624,0.3292022772640954,0.4557953228063162,0.43465496517544006,0.3426962173096482,0.4621159428044034,0.44862253669696495,0.3348634865809884,0.2497350412812226,0.3159542728251397,0.36247249975148965,0.22329157766620353,0.32162517019051223,0.35678641318237697,0.39823066514045424,0.47789205810624535,0.45599346347793085,0.38048772224057464,0.41427815949038005,0.36803875429467847,0.2729811796991462,0.35486278215632217,0.4429677428064231,0.38470087948197546,0.4157996336202651,0.3824847228224893,0.36029606687251237,0.40133293728882785,0.42417392357117534
